longitude,latitude,altitude,speed,course,date,time,satellites
-40.217189,-20.198690,0.0,0.1,0.0,250817,17335600,0
-40.217205,-20.198673,193.2,0.2,0.0,250817,17340100,4
-40.217353,-20.198717,69.9,0.0,0.0,250817,17340600,8
-40.217357,-20.198713,68.6,0.0,0.0,250817,17341100,8
-40.217357,-20.198711,65.6,0.0,0.0,250817,17341600,8
-40.217353,-20.198688,65.3,2.5,15.1,250817,17342100,8
-40.217346,-20.198661,67.6,0.3,14.0,250817,17342600,7
-40.217285,-20.198690,69.6,5.3,80.4,250817,17343100,8
-40.217281,-20.198593,70.2,6.7,325.7,250817,17343600,8
-40.217407,-20.198453,71.2,11.0,321.7,250817,17344100,8
-40.217571,-20.198244,73.2,12.9,323.5,250817,17344600,8
-40.217700,-20.198080,76.4,7.2,317.8,250817,17345100,8
-40.217826,-20.198068,78.7,7.3,247.3,250817,17345600,7
-40.218013,-20.198158,79.7,10.6,254.7,250817,17350100,8
-40.218173,-20.198411,80.7,19.1,177.0,250817,17350700,8
-40.218128,-20.198900,81.0,27.4,175.3,250817,17351200,8
-40.218070,-20.199512,82.7,32.2,175.3,250817,17351700,7
-40.218002,-20.200153,88.6,31.8,173.4,250817,17352200,6
-40.217956,-20.200729,93.8,26.8,179.1,250817,17352700,8
-40.218032,-20.201107,87.3,11.1,205.4,250817,17353200,8
-40.218132,-20.201200,81.4,7.8,229.1,250817,17353700,8
-40.218441,-20.201303,82.0,20.4,255.2,250817,17354200,8
-40.218971,-20.201433,84.6,28.9,256.1,250817,17354700,8
-40.219669,-20.201475,87.6,35.9,277.4,250817,17355200,9
-40.220424,-20.201219,86.9,39.3,298.4,250817,17355700,9
-40.221118,-20.200725,84.6,39.5,309.3,250817,17360200,10
-40.221805,-20.200275,81.4,37.8,301.5,250817,17360700,10
-40.222686,-20.199836,81.0,41.4,301.2,250817,17361300,9
-40.223495,-20.199472,82.3,41.4,288.3,250817,17361800,9
-40.224369,-20.199323,85.0,40.9,275.5,250817,17362300,10
-40.225231,-20.199234,88.9,39.8,274.6,250817,17362800,10
-40.226093,-20.199190,90.2,41.9,271.4,250817,17363300,10
-40.226997,-20.199176,90.6,41.7,271.0,250817,17363800,10
-40.227882,-20.199159,89.9,41.1,271.5,250817,17364300,10
-40.228759,-20.199140,87.3,41.6,272.3,250817,17364800,9
-40.229621,-20.198945,86.0,41.8,293.8,250817,17365300,10
-40.230365,-20.198461,86.0,41.8,309.1,250817,17365800,10
-40.231033,-20.197931,88.3,40.7,309.4,250817,17370300,10
-40.231784,-20.197509,92.2,41.0,293.9,250817,17370800,10
-40.232616,-20.197303,92.8,38.7,277.1,250817,17371300,9
-40.233448,-20.197319,91.9,24.5,261.0,250817,17371900,10
-40.233642,-20.197256,91.5,10.9,351.4,250817,17372400,9
-40.233634,-20.196989,91.2,14.1,1.5,250817,17372900,9
